Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
COL,233,Colombia,Inflation,Headline Consumer Price Inflation,6.9,12.1,12.0,22.6,22.6,25.2,18.9,34.1,17.5,24.2,26.6,27.5,24.7,19.5,16.4,24.0,18.9,23.3,28.1,25.9,29.1,30.3,27.0,22.4,22.8,20.9,20.8,18.5,18.7,10.9,9.2,8.0,6.4,7.1,5.9,5.1,4.3,5.5,7.0,4.2,2.3,3.4,3.2,2.0,2.9,5.0,7.5,4.3,3.2,3.5,2.5,3.5,10.2
COM,632,Comoros,Inflation,Headline Consumer Price Inflation,4.3,5.7,5.5,10.0,18.4,29.7,9.6,9.4,9.1,10.7,13.3,6.5,15.2,9.2,6.1,8.4,-11.3,3.3,0.3,4.4,-7.4,1.7,-1.4,2.0,25.3,3.2,2.4,1.5,1.2,1.1,5.9,5.6,3.6,3.7,4.5,3.0,3.4,4.5,4.8,4.8,3.9,2.2,5.9,1.6,1.3,2.0,1.8,0.1,1.8,3.7,3.0,-0.2,12.0
CPV,624,Cabo Verde,Inflation,Headline Consumer Price Inflation,4.4,5.6,5.5,10.1,1.4,40.8,8.2,11.2,13.3,6.9,15.1,20.7,21.1,20.2,9.7,5.9,11.1,3.8,3.6,4.7,11.1,7.6,13.4,5.8,3.3,8.4,6.0,8.6,4.4,4.3,-2.4,3.7,1.9,1.2,-1.9,0.4,4.8,4.4,6.8,1.0,2.1,4.5,2.5,1.5,-0.2,0.1,-1.4,0.8,1.3,1.1,0.6,1.9,8.0
CRI,238,Costa Rica,Inflation,Headline Consumer Price Inflation,4.7,3.1,4.6,15.2,30.1,17.4,3.5,4.2,6.0,9.2,18.1,37.0,90.1,32.6,11.9,15.1,11.8,16.8,20.8,16.5,19.0,28.7,21.8,9.8,13.5,23.2,17.5,13.2,11.7,10.0,11.0,11.3,9.2,9.4,12.3,13.8,11.5,9.4,13.4,7.8,5.7,4.9,4.5,5.2,4.5,0.8,0.0,1.6,2.2,2.1,0.7,1.7,8.3
CUW,354,Curacao,Inflation,Headline Consumer Price Inflation,,,,9.6,22.5,12.3,3.6,2.7,6.2,7.0,12.0,9.2,3.4,1.3,1.3,-0.5,3.1,3.6,3.7,3.2,3.7,3.4,1.9,1.0,2.1,2.9,2.5,3.1,2.1,2.1,0.4,1.0,0.6,1.6,2.2,3.1,2.4,2.3,4.6,0.7,3.2,4.6,4.0,2.5,1.9,0.3,0.1,1.6,2.6,2.6,,,
CYM,136,Cayman Islands,Inflation,Headline Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.7,3.0,6.9,2.7,1.1,2.5,0.5,4.5,7.3,0.8,2.9,4.1,-1.5,0.3,1.3,1.2,2.2,1.3,-2.4,-0.6,2.0,3.3,5.7,1.0,0.8,8.2
CYP,423,Cyprus,Inflation,Headline Consumer Price Inflation,2.4,4.1,4.8,7.8,16.2,4.6,3.9,7.3,7.4,9.5,13.5,10.8,6.4,5.1,6.0,5.0,1.2,2.8,3.4,3.8,4.5,5.0,6.5,4.9,4.7,2.6,3.0,3.6,2.2,1.7,4.2,2.0,2.8,4.1,2.3,2.6,2.5,2.4,4.7,0.3,2.4,3.3,2.4,-0.4,-1.4,-2.1,-1.4,0.7,1.4,0.6,-0.6,0.5,8.4
CZE,935,Czech Republic,Inflation,Headline Consumer Price Inflation,-0.4,-0.4,-0.3,0.3,0.5,0.7,0.8,1.3,1.6,3.9,2.9,0.8,5.1,0.9,0.9,2.3,0.5,0.1,0.1,1.4,10.0,57.7,11.1,20.8,10.0,9.0,8.8,8.6,10.7,2.1,3.8,4.7,1.9,0.1,2.8,1.9,2.5,2.9,6.4,1.0,1.5,1.9,3.3,1.4,0.3,0.3,0.7,2.5,2.2,2.9,3.2,3.8,15.1
DEU,134,Germany,Inflation,Headline Consumer Price Inflation,3.4,5.2,5.5,7.0,7.0,5.9,4.2,3.7,2.7,4.0,5.4,6.3,5.2,3.3,2.4,2.1,-0.1,0.2,1.3,2.8,2.7,4.0,5.1,4.5,2.7,1.7,1.4,1.9,0.9,0.6,1.4,2.0,1.4,1.0,1.7,1.5,1.6,2.3,2.6,0.3,1.1,2.1,2.0,1.5,0.9,0.5,0.5,1.7,1.7,1.3,0.5,3.1,6.9
DJI,611,Djibouti,Inflation,Headline Consumer Price Inflation,4.3,1.9,7.1,7.6,16.1,12.3,12.4,21.5,19.6,15.0,12.1,5.7,-2.4,0.9,1.9,2.1,18.1,4.1,5.4,4.4,4.4,6.8,3.4,4.4,6.5,4.9,3.5,2.5,2.2,-0.4,2.0,1.8,0.6,2.0,3.1,3.1,3.5,5.0,12.0,1.7,4.0,5.1,3.7,2.4,2.9,2.1,2.7,0.6,0.2,3.3,2.9,1.2,5.2
