Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GRC,174,Greece,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,3.52,,,,,4.82,,,-13.79,31.41,5.75,3.44,2.85,2.41,5.26,1.34,0.22,-1.23,7.66,6.04,6.14,2.29,8.08,-5.50,7.08,8.91,3.72,-0.50,-3.47,-4.94,-1.43,8.49,5.21,1.01,5.32,13.75,35.06
GTM,258,Guatemala,Inflation,Producer Price Inflation,2.45,2.06,-0.71,14.26,22.78,12.33,10.50,13.03,3.59,10.20,16.10,11.74,-6.08,1.20,5.63,23.28,42.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,532,"Hong Kong SAR, China",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,3.47,1.87,0.67,2.05,2.86,-0.17,-0.28,-1.82,-1.52,0.20,-1.51,-2.69,-0.33,2.24,0.82,2.26,2.98,5.62,-1.67,6.02,8.32,0.12,-3.09,-1.69,-2.78,1.34,3.78,1.99,1.00,1.00,1.17,0.80
HRV,960,Croatia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,1510.24,77.67,0.75,2.02,1.18,-0.78,2.59,8.22,-0.36,-0.39,1.31,3.36,4.33,1.46,3.69,6.82,-2.31,4.24,7.13,5.30,-0.23,-2.50,-3.68,-3.97,2.01,2.12,0.70,-3.32,8.03,19.98
HUN,944,Hungary,Inflation,Producer Price Inflation,,,,,,,,,,2.13,15.36,6.30,4.83,4.61,5.30,4.92,6.93,2.85,5.42,14.96,21.47,34.36,10.01,13.95,12.25,28.51,21.83,20.30,11.42,5.04,11.46,6.00,-0.25,1.84,4.03,4.20,7.41,0.78,5.60,4.48,3.68,4.22,4.13,0.76,-0.41,-0.95,-1.70,3.29,5.51,2.13,4.23,13.50,33.44
IND,534,India,Inflation,Producer Price Inflation,6.28,5.41,8.49,16.54,28.39,4.15,-1.99,7.45,-0.27,11.73,20.11,12.31,2.40,7.72,8.47,5.96,5.24,6.42,7.21,6.29,9.10,13.50,11.86,7.51,11.85,10.18,4.46,4.52,5.87,3.47,6.22,5.19,2.44,5.33,6.18,4.62,6.00,4.89,8.67,2.35,9.58,9.44,7.32,5.42,3.35,-3.89,-0.05,3.44,4.27,1.88,0.47,10.77,12.24
IRL,178,Ireland,Inflation,Producer Price Inflation,5.52,5.34,10.67,18.40,11.70,26.04,18.38,17.75,9.01,11.86,10.90,16.66,11.83,6.55,7.35,3.96,-0.01,2.44,4.13,4.77,-1.61,0.87,1.63,4.61,1.12,2.55,0.63,-0.57,0.86,0.92,6.15,1.67,-1.14,-8.09,-2.41,-0.49,0.79,-1.99,-1.39,0.44,-0.30,0.68,1.84,-0.41,-1.29,5.38,-1.23,-0.15,-1.77,-1.48,-8.72,-0.93,8.72
IRN,429,"Iran, Islamic Rep.",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,28.68,22.29,29.91,47.12,31.78,16.88,17.62,21.86,18.72,11.66,11.95,16.04,16.40,11.22,9.54,14.69,20.60,9.09,10.44,37.86,24.68,37.27,17.22,6.98,3.54,9.71,30.64,,,,
ISL,176,Iceland,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,9.21,,,,,,,,,,,,,,,,,,,,,,1.81,31.05,11.33,11.76,9.18,1.05,-4.36,-0.66,5.10,-8.09,-4.57,6.78,4.92,23.11,11.46,17.27
ISR,436,Israel,Inflation,Producer Price Inflation,,,,,,,,,53.16,79.05,135.08,122.75,125.73,144.45,396.53,266.07,45.11,18.46,17.56,21.04,11.57,16.05,10.17,8.19,7.89,10.70,8.60,6.29,4.18,7.06,3.64,-0.12,3.87,4.33,5.43,6.25,5.69,3.45,9.60,-6.35,3.98,7.76,4.33,0.42,-1.37,-5.86,-3.62,1.45,3.33,-1.11,-4.90,6.83,13.06
ITA,136,Italy,Inflation,Producer Price Inflation,25.12,,,,,68.18,33.01,-22.02,-23.80,18.24,45.61,-51.61,13.14,11.00,10.31,7.70,0.18,2.99,3.55,5.86,4.15,3.34,1.89,3.76,3.71,7.87,1.89,1.29,0.10,-0.25,5.14,1.71,0.06,0.92,2.27,3.53,4.48,3.04,5.10,-4.71,2.94,4.77,3.58,-1.09,-1.44,-2.68,-1.93,2.34,3.29,0.18,56.14,6.22,42.77
JAM,343,Jamaica,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,13.49,23.56,9.09,8.63,13.68,7.58,8.46,7.88,-2.75,-0.48,7.03,7.27,3.11,0.97,12.94,20.12
JOR,439,Jordan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,6.02,9.46,15.78,9.11,56.18,-16.67,-2.37,14.70,4.71,-2.55,-1.69,-9.93,-8.77,4.11,7.53,-1.47,-7.52,12.53,13.97
JPN,158,Japan,Inflation,Producer Price Inflation,3.39,-0.79,1.61,15.72,27.51,2.83,5.46,3.35,-0.49,5.00,14.94,1.37,0.44,-0.61,0.09,-0.79,-4.69,-3.12,-0.54,1.88,1.50,1.05,-0.91,-1.55,-1.64,-0.85,-1.66,0.66,-1.51,-1.47,0.05,-2.28,-2.08,-0.83,1.27,1.66,2.17,1.74,4.57,-5.25,-0.57,1.43,-0.86,1.24,3.21,-2.29,-3.50,2.34,2.51,4.12,3.00,4.75,8.43
KAZ,916,Kazakhstan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,139.68,23.74,15.52,0.83,18.91,37.97,0.35,0.24,9.28,16.73,23.70,18.44,12.35,36.84,-22.05,25.17,27.23,3.54,-0.34,9.47,-20.52,16.84,15.29,18.96,5.09,-7.93,32.46,29.82
KEN,664,Kenya,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.19,0.14,7.42,
KGZ,917,Kyrgyz Republic,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,215.26,21.82,22.99,26.26,7.95,53.67,29.12,9.12,5.34,5.62,8.79,3.12,15.91,11.77,25.35,11.33,23.12,21.80,-2.15,-6.08,0.23,9.11,6.41,1.66,1.48,4.27,20.80,11.97,4.67
